month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2024-01,ANG MO KIO,3 ROOM,123,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1978,53 years,390000
2024-02,ANG MO KIO,4 ROOM,456,ANG MO KIO AVE 10,10 TO 12,92,Model A,1980,55 years,545000
2024-03,BEDOK,4 ROOM,88,BEDOK NORTH ST 4,04 TO 06,91,New Generation,1978,53 years,515000
2024-04,BEDOK,5 ROOM,210,BEDOK CTRL,13 TO 15,121,Improved,1985,60 years,735000
2024-05,BISHAN,4 ROOM,135,BISHAN ST 12,07 TO 09,104,Model A,1986,61 years,790000
2024-06,BISHAN,5 ROOM,221,BISHAN ST 23,16 TO 18,121,Improved,1992,67 years,1040000
2024-07,QUEENSTOWN,3 ROOM,45,STIRLING RD,10 TO 12,65,Improved,1970,45 years,455000
2024-08,QUEENSTOWN,4 ROOM,28,GHIM MOH LINK,22 TO 24,93,Model A,2013,88 years,930000
2024-09,TAMPINES,4 ROOM,311,TAMPINES ST 33,04 TO 06,104,Model A,1995,70 years,590000
2024-10,TAMPINES,5 ROOM,501,TAMPINES CTRL 1,10 TO 12,124,Improved,1989,64 years,755000
2024-11,WOODLANDS,4 ROOM,765,WOODLANDS AVE 6,07 TO 09,93,Model A,1996,71 years,485000
2024-12,WOODLANDS,5 ROOM,888,WOODLANDS DR 50,13 TO 15,123,Improved,2001,76 years,635000
2025-01,ANG MO KIO,3 ROOM,124,ANG MO KIO AVE 3,10 TO 12,68,New Generation,1978,52 years,405000
2025-02,BEDOK,4 ROOM,89,BEDOK NORTH ST 4,07 TO 09,92,New Generation,1978,52 years,532000
2025-03,BISHAN,4 ROOM,136,BISHAN ST 12,10 TO 12,105,Model A,1986,60 years,815000
2025-04,QUEENSTOWN,4 ROOM,29,GHIM MOH LINK,19 TO 21,93,Model A,2013,87 years,955000
2025-05,TAMPINES,5 ROOM,502,TAMPINES CTRL 1,13 TO 15,124,Improved,1989,63 years,778000
2025-06,WOODLANDS,4 ROOM,766,WOODLANDS AVE 6,10 TO 12,94,Model A,1996,70 years,498000
